ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s соглашается с |3-4(%s).,0,1
2,%s соглашается с вами.,1,1
3,Вы соглашаетесь с |3-4(%s).,2,1
4,%s согласно кивает.,4,1
5,Вы соглашаетесь.,6,1
6,%s восхищается |3-4(%s)!,0,2
7,%s восхищается вами!,1,2
8,Вы восхищены |3-4(%s)!,2,2
9,%s в восхищении!,4,2
10,Вы восхищены!,6,2
11,%s в гневе замахивается кулаком на |3-3(%s).,0,3
12,%s в гневе замахивается на вас кулаком.,1,3
13,Вы в гневе замахиваетесь кулаком на |3-3(%s).,2,3
14,%s в гневе заносит кулак.,4,3
15,Вы в гневе заносите кулак.,6,3
16,%s в гневе замахивается на |3-3(%s).,8,3
17,%s в гневе замахивается на вас кулаком.,9,3
18,%s в гневе заносит кулак.,12,3
19,%s извиняется перед |3-4(%s).,0,4
20,%s извиняется перед вами. Простите!,1,4
21,Вы извиняетесь перед |3-4(%s)s. Простите!,2,4
22,%s просит у всех прощения. Простите!,4,4
23,Вы просите у всех прощения. Извините!,6,4
24,%s рукоплещет |3-2(%s). Браво!,0,5
25,%s рукоплещет вам. Браво!,1,5
26,Вы рукоплещете |3-2(%s). Браво!,2,5
27,%s хлопает в ладоши. Браво!,4,5
28,Вы аплодируете. Браво!,6,5
29,%s стесняется привлечь внимание |3-1(%s).,0,6
30,%s стесняется привлечь ваше внимание.,1,6
31,"Вы слишком застенчивы, чтобы привлечь внимание |3-1(%s).",2,6
32,%s краснеет.,4,6
33,Вы краснеете.,6,6
34,%s жестом подзывает |3-3(%s).,0,7
35,%s жестом подзывает вас.,1,7
36,Вы жестом подзываете |3-3(%s).,2,7
37,%s жестом подзывает всех.,4,7
38,Вы жестом подзываете всех к себе.,6,7
39,%s умоляет |3-3(%s). Ничтожество!,0,8
40,%s с мольбой смотрит на вас. Выглядит жалко.,1,8
41,Вы с мольбой смотрите на |3-3(%s). Выглядит жалко.,2,8
42,%s умоляет всех. Жалкое зрелище!,4,8
43,Вы с мольбой смотрите на окружающих. Выглядит жалко.,6,8
44,%s с мольбой смотрит на окружающих. Выглядит жалко.,12,8
45,%s кусает |3-3(%s). Ой!,0,9
46,%s кусает вас. Ой!,1,9
47,Вы кусаете |3-3(%s). Ох!,2,9
48,"%s ищет, кого бы покусать.",4,9
49,"Вы ищете, кого бы укусить.",6,9
50,Раны |3-1(%s) кровоточат.,4,10
51,Ваши раны кровоточат.,6,10
52,"%s моргает, глядя на |3-3(%s).",0,11
53,"%s моргает, глядя на вас.",1,11
54,"Вы моргаете, глядя на |3-3(%s).",2,11
55,%s моргает.,4,11
56,Вы моргаете.,6,11
57,%s заливается краской при виде |3-1(%s).,0,12
58,%s вспыхивает при виде вас.,1,12
59,Вы заливаетесь краской при виде |3-1(%s).,2,12
60,%s заливается краской.,4,12
61,Вы заливаетесь краской.,6,12
62,%s бьет |3-3(%s) по голове. Буммм!,0,13
63,%s бьет вас по голове. Буммм!,1,13
64,Вы бьете |3-3(%s) по голове. Буммм!,2,13
65,%s бьет себя по голове. Буммм!,4,13
66,Вы стукаетесь головой. Буммм!,6,13
67,%s бьет себя по голове. Буммм!,12,13
68,%2$s окончательно утомляет |3-3(%1$s).,0,14
69,Вы окончательно утомили |3-3(%s).,1,14
70,Общение с |3-4(%s) вас основательно утомило.,2,14
71,%s изнывает от скуки. Какое занудство!,4,14
72,Вы изнываете от скуки. Какое занудство!,6,14
73,%s прыгает на месте перед |3-4(%s).,0,15
74,%s прыгает на месте перед вами.,1,15
75,Вы прыгаете на месте перед |3-4(%s).,2,15
76,%s прыгает на месте.,4,15
77,Вы подпрыгиваете на месте.,6,15
78,"%s сейчас вернется. Держись, %s!",0,16
79,%s сейчас вернется. Держитесь!,1,16
80,"Вы показываете |3-2(%s), что сейчас вернетесь.",2,16
81,%s сейчас вернется.,4,16
82,"Вы даете всем понять, что сейчас вернетесь.",6,16
